order_date;registered_date;user_id;SKU;Quantity
21-Sep-17;21-Sep-17;80996;210917;1
21-Sep-17;21-Sep-17;80998;210917;1
21-Sep-17;21-Sep-17;81000;210917;1
21-Sep-17;21-Sep-17;81001;210917;2
21-Sep-17;21-Sep-17;80997;210917;1
21-Sep-17;29-Aug-17;80875;220917;2
21-Sep-17;21-Sep-17;81004;220917;1
21-Sep-17;21-Sep-17;81005;220917;1
22-Sep-17;21-Sep-17;81006;220917;1
22-Sep-17;13-Sep-17;80933;220917;1
22-Sep-17;22-Sep-17;81008;220917;2
22-Sep-17;22-Sep-17;81010;220917;1
22-Sep-17;22-Sep-17;81011;220917;1
22-Sep-17;22-Sep-17;81012;220917;1
22-Sep-17;22-Sep-17;81013;220917;1
22-Sep-17;22-Sep-17;81014;220917;1
22-Sep-17;22-Sep-17;81015;250917;1
22-Sep-17;22-Sep-17;81016;250917;1
22-Sep-17;22-Sep-17;81017;260917;1
22-Sep-17;20-Sep-17;80988;250917;1
23-Sep-17;23-Sep-17;81018;260917;1
23-Sep-17;23-Sep-17;81019;250917;1
23-Sep-17;23-Sep-17;81020;250917;1
23-Sep-17;23-Sep-17;81021;280917;1
24-Sep-17;23-Sep-17;81022;250917;1
24-Sep-17;21-Sep-17;80990;250917;1
25-Sep-17;25-Sep-17;81025;260917;1
25-Sep-17;25-Sep-17;81026;250917;1
25-Sep-17;25-Sep-17;81027;250917;1
25-Sep-17;25-Sep-17;81027;250917;1
25-Sep-17;29-Aug-17;80875;250917;2
25-Sep-17;29-Aug-17;80875;250917;2
25-Sep-17;29-Aug-17;80875;250917;2
25-Sep-17;29-Aug-17;80875;250917;2
25-Sep-17;29-Aug-17;80875;250917;2
25-Sep-17;25-Sep-17;81028;260917;1
25-Sep-17;25-Sep-17;81029;260917;1
25-Sep-17;12-Sep-17;80930;51017;1
26-Sep-17;18-Sep-17;80967;260917;1
26-Sep-17;25-Sep-17;81030;260917;1
26-Sep-17;26-Sep-17;81031;260917;1
26-Sep-17;26-Sep-17;81033;260917;1
26-Sep-17;26-Sep-17;81034;260917;1
26-Sep-17;26-Sep-17;81035;260917;1
26-Sep-17;26-Sep-17;81036;260917;1
26-Sep-17;26-Sep-17;81037;260917;1
26-Sep-17;26-Sep-17;81038;270917;1
26-Sep-17;26-Sep-17;81039;270917;1
26-Sep-17;26-Sep-17;81040;270917;1
27-Sep-17;26-Sep-17;81041;270917;1
27-Sep-17;27-Sep-17;81043;270917;1
27-Sep-17;27-Sep-17;81044;270917;1
27-Sep-17;27-Sep-17;81045;270917;1
27-Sep-17;27-Sep-17;81047;280917;1
27-Sep-17;27-Sep-17;81048;280917;1
27-Sep-17;27-Sep-17;81050;280917;1
27-Sep-17;27-Sep-17;81051;280917;1
28-Sep-17;27-Sep-17;81052;280917;1
28-Sep-17;28-Sep-17;81054;61017;2
28-Sep-17;28-Sep-17;81053;280917;1
28-Sep-17;28-Sep-17;81055;41017;1
28-Sep-17;28-Sep-17;81058;290917;1
28-Sep-17;28-Sep-17;81057;290917;1
28-Sep-17;28-Sep-17;81059;101017;1
28-Sep-17;28-Sep-17;81060;290917;1
28-Sep-17;28-Sep-17;81061;290917;1
28-Sep-17;28-Sep-17;81062;290917;1
28-Sep-17;28-Sep-17;81064;61017;1
29-Sep-17;28-Sep-17;81065;290917;1
29-Sep-17;28-Sep-17;81067;290917;1
29-Sep-17;29-Sep-17;81068;290917;1
29-Sep-17;29-Sep-17;81069;290917;1
29-Sep-17;29-Sep-17;81070;290917;1
29-Sep-17;29-Sep-17;81071;290917;1
29-Sep-17;29-Sep-17;81072;290917;1
29-Sep-17;29-Sep-17;81074;290917;1
29-Sep-17;29-Sep-17;81073;290917;1
29-Sep-17;6-Sep-17;80900;290917;1
29-Sep-17;29-Sep-17;81075;290917;1
